"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"195719","occ","9130","","20121","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
"195741","occ","","","20122","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195865","occ","","","20126","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195887","occ","","","20127","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195926","occ","","","20129","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195938","occ","","","20130","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195952","occ","","","20134","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1186"
"195966","occ","","","20137","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3081"
"196022","occ","","","20143","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2419"
"196053","occ","9189","","20148","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673"
"196067","occ","","","20150","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022"
"196068","occ","9195","","20150","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","949"
"196115","occ","","","20157","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3211"
"196213","occ","","","20166","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","3081"
"196265","occ","","","20173","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2893"
"196301","occ","9235","","20178","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","6294"
"196351","occ","","","20187","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2893"
"196652","occ","","","20273","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2016"
"196653","occ","","","20273","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2016"
"196697","occ","","","20280","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1817"
"196730","occ","","","20283","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2607"
"196731","occ","","","20283","Canis cedazoensis","species","44831","Irvingtonian","","1.8","0.3","2607"
"196732","occ","","","20283","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2607"
"196759","occ","","","20285","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","1482"
"196760","occ","","","20285","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1482"
"196816","occ","9332","","20289","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2673"
"196842","occ","","","20290","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2673"
"196843","occ","30223","","20290","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","52058"
"196901","occ","","","20293","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1462"
"196932","occ","9371","","20295","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","6294"
"196933","occ","","","20295","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1907"
"196953","occ","9378","","20297","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2673"
"196982","occ","","","20299","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197002","occ","9385","","20301","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673"
"197033","occ","","","20302","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1628"
"197034","occ","9393","","20302","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2673"
"197092","occ","","","20303","Canis edwardii","species","44838","Blancan","","4.9","1.8","2252"
"197140","occ","","","20308","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197268","occ","","","20319","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2887"
"197294","occ","30196","","20322","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"197327","occ","","","20323","Canis latrans","species","44854","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"197352","occ","30220","","20327","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","52058"
"197353","occ","30230","","20327","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058"
"197378","occ","","","20329","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","949"
"197379","occ","","","20329","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","949"
"197401","occ","","","20334","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197441","occ","9471","","20342","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1319"
"197442","occ","9472","","20342","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1319"
"197489","occ","9491","","20346","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2673"
"197498","occ","","","20347","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","1916"
"197499","occ","30221","","20347","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","52058"
"197571","occ","","","20351","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2615"
"197572","occ","","","20351","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197731","occ","30226","","20376","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058"
"197794","occ","","","20384","Canis edwardii","species","44838","Blancan","","4.9","1.8","3580"
"197859","occ","30228","","20387","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058"
"197860","occ","9581","","20387","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","6294"
"197978","occ","","","20398","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","2611"
"197990","occ","","","20400","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","1960"
"197991","occ","","","20400","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1960"
"198018","occ","","","20401","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1960"
"198116","occ","","","20415","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2615"
"198145","occ","","","20419","Canis dirus","species","44837","Irvingtonian","Rancholabrean","1.8","0.012","2193"
"198253","occ","","","20434","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2048"
"198363","occ","","","20454","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2725"
"198476","occ","","","20477","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022"
"198513","occ","30224","","20479","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","52058"
"198606","occ","","","20491","Canis latrans","species","44854","Rancholabrean","","0.3","0.012","3580"
"198607","occ","","","20491","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","3580"
"198649","occ","","","20494","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"198672","occ","9737","","20498","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","3083"
"198673","occ","9738","","20498","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3083"
"198688","occ","","","20499","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673"
"198698","occ","30227","","20500","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","52058"
"198736","occ","","","20503","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2549"
"198767","occ","","","20506","Canis rufus","species","44879","Irvingtonian","","1.8","0.3","2940"
"198814","occ","","","20514","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2940"
"198872","occ","","","20520","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","3567"
"198920","occ","","","20528","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2887"
"198940","occ","","","20530","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1304"
"198941","occ","9783","","20530","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","6202"
"198987","occ","30219","","20536","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","52058"
"199068","occ","","","20556","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2896"
"199069","occ","","","20556","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2896"
"199085","occ","","","20558","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1794"
"199126","occ","","","20559","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1022"
"199180","occ","","","20567","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3799"
"199204","occ","","","20569","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","6225"
"199205","occ","","","20569","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","1936"
"199271","occ","","","20572","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567"
"199309","occ","","","20573","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3580"
"199337","occ","","","20580","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2673"
"199393","occ","","","20590","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1785"
"199413","occ","30225","","20593","Canis armbrusteri","species","44827","Late Pleistocene","","0.126","0.0117","52058"
"199428","occ","","","20594","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567"
"199486","occ","","","20600","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2727"
"199487","occ","","","20600","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","3498"
"199488","occ","","","20600","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2727"
"199610","occ","","","20612","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2501"
"199643","occ","","","20615","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1200"
"199670","occ","","","20617","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","1766"
"199686","occ","","","20619","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","1793"
"199687","occ","","","20619","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","1793"
"199724","occ","","","20624","Canis dirus","species","44837","Rancholabrean","","0.3","0.012","2588"
"199750","occ","9905","","20626","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","1785"
"199768","occ","","","20628","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2018"
"199827","occ","","","20635","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","3182"
"199837","occ","","","20636","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567"
"199867","occ","","","20638","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","3567"
"199884","occ","","","20639","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2588"
"199912","occ","","","20641","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2589"
"199913","occ","","","20641","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2589"
"199934","occ","","","20642","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018"
"199935","occ","","","20642","Canis dirus","species","44837","Late Pleistocene","","0.126","0.0117","2018"
"199948","occ","","","20644","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018"
"199960","occ","","","20646","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","2018"
"200019","occ","","","20653","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","3567"
"212037","occ","","","21294","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","4454"
"212321","occ","","","21377","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4469"
"212356","occ","","","21399","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4488"
"213110","occ","","","21690","Canis mesomelas","species","232943","Holocene","","0.0117","0","4792"
"213111","occ","","","21690","Canis adustus","species","232942","Holocene","","0.0117","0","4792"
"213140","occ","","","21690","Canis aureus","species","104156","Holocene","","0.0117","0","4792"
"213251","occ","","","21693","Canis mesomelas","species","232943","Holocene","","0.0117","0","4805"
"213252","occ","","","21693","Canis adustus","species","232942","Holocene","","0.0117","0","4805"
"213350","occ","","","21783","Canis mesomelas","species","232943","Piacenzian","","3.6","2.588","4847"
"213605","occ","","","21856","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5211"
"213635","occ","","","21857","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5212"
"213641","occ","","","21857","Canis anthus","species","233548","Pleistocene","Holocene","2.588","0","5212"
"213661","occ","","","21859","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5212"
"213669","occ","","","21859","Canis anthus","species","233548","Pleistocene","Holocene","2.588","0","5212"
"213744","occ","","","21886","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5209"
"213948","occ","","","21907","Canis aureus","species","104156","Holocene","","0.0117","0","5221"
"214181","occ","","","21953","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5252"
"214225","occ","","","21961","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","5261"
"218780","occ","","","22340","Canis mesomelas","species","232943","Late Pliocene","","3.6","2.588","4932"
"219129","occ","","","22489","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5619"
"219803","occ","","","22596","Canis mesomelas","species","232943","Gelasian","","2.588","1.806","5276"
"219873","occ","","","22628","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","5653"
"220484","occ","","","21877","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","5221"
"220528","occ","","","21894","Canis familiaris","species","104153","Holocene","","0.0117","0","5210"
"220617","occ","","","21897","Canis mesomelas","species","232943","Holocene","","0.0117","0","5214"
"220690","occ","","","21915","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5214"
"220707","occ","","","21916","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5235"
"220761","occ","","","21918","Canis mesomelas","species","232943","Holocene","","0.0117","0","5234"
"220800","occ","","","21931","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5241"
"220896","occ","","","21948","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5246"
"220973","occ","","","21950","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5249"
"221007","occ","","","21951","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5250"
"221048","occ","","","21954","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5232"
"221315","occ","","","21276","Canis mesomelas","species","232943","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221316","occ","","","21276","Canis adustus","species","232942","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221353","occ","","","21277","Canis mesomelas","species","232943","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221548","occ","","","21296","Canis mesomelas","species","232943","Calabrian","","1.806","0.781","4454"
"221577","occ","","","21302","Canis mesomelas","species","232943","Gelasian","","2.588","1.806","4454"
"224495","occ","","","21791","Canis mesomelas","species","232943","Pliocene","Calabrian","5.333","0.781","4867"
"225019","occ","","","21824","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","4896"
"225040","occ","","","21824","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","4896"
"225084","occ","","","21825","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4892"
"225106","occ","","","21825","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4892"
"225172","occ","","","21826","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","4868"
"225190","occ","","","21827","Canis mesomelas","species","232943","Pliocene","","5.333","2.588","4895"
"225238","occ","","","21828","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4888"
"225303","occ","","","21829","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","4895"
"225604","occ","","","21865","Canis aureus","species","104156","Pleistocene","Holocene","2.588","0","5217"
"225779","occ","","","21924","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5237"
"225845","occ","","","21929","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5238"
"226004","occ","","","21952","Canis mesomelas","species","232943","Pleistocene","Holocene","2.588","0","5251"
"226061","occ","","","21956","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5255"
"226177","occ","","","21960","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","5260"
"226230","occ","","","21963","Canis mesomelas","species","232943","Pleistocene","","2.588","0.0117","5266"
"226231","occ","","","21963","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","5266"
"228087","occ","","","22334","Canis mesomelas","species","232943","Pliocene","Pleistocene","5.333","0.0117","4885"
"228331","occ","","","22340","Canis adustus","species","232942","Late Pliocene","","3.6","2.588","4932"
"339309","occ","","","32051","Canis mesomelas","species","232943","Early Pleistocene","","2.588","0.781","10211"
"339335","occ","","","32052","Canis aureus","species","104156","Late Pliocene","","3.6","2.588","5595"
"358468","occ","11022","","34102","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","10946"
"358553","occ","11023","","34104","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","10946"
"361746","occ","13597","","34269","Canis latrans","species","44854","Late Pleistocene","","0.126","0.0117","14678"
"361891","occ","","","34287","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","9013"
"362182","occ","","","34329","Canis adustus","species","232942","Pleistocene","","2.588","0.0117","9013"
"362197","occ","","","34330","Canis adustus","species","232942","Middle Pleistocene","","0.781","0.126","9013"
"367573","occ","","","34766","Canis lupus","species","44860","Early Pleistocene","","2.588","0.781","9135"
"367725","occ","","","34784","Canis apolloniensis","species","55004","Early Pleistocene","","2.588","0.781","9136"
"367963","occ","","","34808","Canis lupus","species","44860","Early Pleistocene","Middle Pleistocene","2.588","0.126","9135"
"369203","occ","","","34926","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9345"
"369226","occ","","","34927","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9345"
"374162","occ","","","35369","Canis lupus","species","44860","Villanyian","","3.2","2.588","9534"
"375514","occ","","","35442","Canis lupus","species","44860","Early Pleistocene","","2.588","0.781","9534"
"379666","occ","","","35907","Canis lupus","species","44860","Early Pleistocene","Middle Pleistocene","2.588","0.126","9643"
"380822","occ","","","36134","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9695"
"381189","occ","","","36206","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"381231","occ","","","22728","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","9643"
"381395","occ","","","36214","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"381462","occ","","","36219","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"381496","occ","","","36220","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"382572","occ","","","36376","Canis familiaris","species","104153","Quaternary","","2.588","0","9756"
"398243","occ","","","13066","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","10274"
"408440","occ","","","39314","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","10617"
"408441","occ","","","39314","Canis aureus","species","104156","Pleistocene","","2.588","0.0117","10617"
"415526","occ","","","40266","Canis lupus","species","44860","Early Pleistocene","","2.588","0.781","10889"
"417541","occ","","","40497","Canis lupus","species","44860","Middle Pleistocene","Late Pleistocene","0.781","0.0117","10916"
"420015","occ","11528","","40808","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11465"
"439011","occ","","","42866","Canis aureus","species","104156","Middle Pleistocene","","0.781","0.126","11378"
"440026","occ","","","43008","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11397"
"440029","occ","","","43008","Canis aureus","species","104156","Middle Pleistocene","","0.781","0.126","11397"
"442555","occ","","","43618","Canis lupus","species","44860","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11457"
"442574","occ","","","43619","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","11457"
"442635","occ","","","43629","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","11457"
"442664","occ","","","43630","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","11457"
"442682","occ","","","43631","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","11457"
"442712","occ","","","43632","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","11457"
"442908","occ","","","43644","Canis lupus","species","44860","Early Pleistocene","","2.588","0.781","11465"
"443152","occ","","","43649","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11465"
"443180","occ","","","43650","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11465"
"443190","occ","","","43651","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11465"
"443238","occ","","","43653","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11465"
"443254","occ","","","43654","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11465"
"443315","occ","","","43656","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","11465"
"443400","occ","","","43664","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11465"
"443582","occ","","","43689","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","11465"
"443685","occ","","","43699","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11465"
"443733","occ","","","43702","Canis lupus","species","44860","Middle Pleistocene","Late Pleistocene","0.781","0.0117","11465"
"447654","occ","","","44090","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","11572"
"447692","occ","","","44091","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","11575"
"485282","occ","","","48587","Canis lupus","species","44860","Late Pleistocene","","0.126","0.0117","12964"
"488520","occ","","","49089","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","13054"
"493158","occ","","","49814","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","13378"
"493203","occ","","","49816","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","13380"
"494704","occ","","","49999","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","13430"
"497012","occ","","","50196","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"497081","occ","","","50198","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"497120","occ","","","50199","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"497444","occ","","","50242","Canis lupus","species","44860","Pleistocene","","2.588","0.0117","9643"
"497510","occ","","","50249","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"497635","occ","","","50258","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"497675","occ","","","50259","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","9643"
"498812","occ","13073","","50342","Canis lupus","species","44860","Early Pleistocene","","2.588","0.781","13519"
"502572","occ","","","51100","Canis lupus","species","44860","Middle Pleistocene","","0.781","0.126","13623"
"536650","occ","","","55533","Canis lupus","species","44860","Holocene","","0.0117","0","14999"
