scientificName	earliestAge	latestAge	higherGeography
Cladophlebis	168.3	166.1	paleoarctic
Otozamites	168.3	166.1	paleoarctic
Nilsonia	168.3	166.1	paleoarctic
Ptilophyllum	170.3	168.3	paleoarctic
Pagiophyllum	170.3	168.3	paleoarctic
Brachyphyllum	168.3	166.1	paleoarctic
Coniopteris	168.3	166.1	paleoarctic
Equisetites	168.3	166.1	paleoarctic
Nilsonia	170.3	168.3	paleoarctic
Zamites	168.3	166.1	paleoarctic
Equisetites	170.3	168.3	paleoarctic
Coniopteris	170.3	168.3	paleoarctic
Brachyphyllum	170.3	168.3	paleoarctic
Equisetites	170.3	168.3	paleoarctic
Nilsonia	170.3	168.3	paleoarctic
Equisetites	168.3	166.1	paleoarctic
Nilsonia	170.3	168.3	paleoarctic
Nilsonia	168.3	166.1	paleoarctic
Klukia	168.3	166.1	paleoarctic
Coniopteris	168.3	166.1	paleoarctic
Cladophlebis	170.3	168.3	paleoarctic
Cladophlebis	168.3	166.1	paleoarctic
Coniopteris	168.3	166.1	paleoarctic
Podozamites	168.3	166.1	paleoarctic
Podozamites	168.3	166.1	paleoarctic
Coniopteris	170.3	168.3	paleoarctic
Equisetites	170.3	168.3	paleoarctic
Coniopteris	168.3	166.1	paleoarctic
Coniopteris	168.3	166.1	paleoarctic
Nilsonia	168.3	166.1	paleoarctic
Pagiophyllum	170.3	168.3	paleoarctic
Coniopteris	168.3	166.1	paleoarctic
Pterophyllum	168.3	166.1	paleoarctic
Cladophlebis	170.3	168.3	paleoarctic
Cladophlebis	168.3	166.1	paleoarctic
Coniopteris	170.3	168.3	paleoarctic
Podozamites	168.3	166.1	paleoarctic
Podozamites	168.3	166.1	paleoarctic
Equisetites	170.3	168.3	paleoarctic
Nilsonia	168.3	166.1	paleoarctic
Cladophlebis	168.3	166.1	paleoarctic
Pagiophyllum	168.3	166.1	paleoarctic
Pagiophyllum	168.3	166.1	paleoarctic
Pagiophyllum	168.3	166.1	paleoarctic
Coniopteris	168.3	166.1	paleoarctic
Otozamites	168.3	166.1	paleoarctic
Sagenopteris	168.3	166.1	paleoarctic
Coniopteris	168.3	166.1	paleoarctic
Otozamites	168.3	166.1	paleoarctic
Gleichenia	129.4	122.46	paleoarctic
Posidonia	56	33.9	paleoarctic
Posidonia	56	33.9	paleoarctic
Cycadeospermum	66	56	paleoarctic
Calamostachys	318.1	314.6	paleoarctic
Posidonia	56	33.9	paleoarctic
Posidonia	47.8	41.3	paleoarctic
Stigmaria	318.1	314.6	paleoarctic
Cycadeospermum	145	66	paleoarctic
Calamophyton	387.7	358.9	paleoarctic
Zosterophyllum	419.2	382.7	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Barinophyton	364.7	360.7	paleoarctic
Salvinia	66	33.9	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Calamostachys	318.1	314.6	paleoarctic
Lepidophloios	318.1	314.6	paleoarctic
Cycadeospermum	66	56	paleoarctic
Psilophyton	410.8	402.5	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Posidonia	66	56	paleoarctic
Lorophyton	388.1	383.7	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Sphenophyllum	318.1	314.6	paleoarctic
Gleichenites	129.4	122.46	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Eviostachya	364.7	360.7	paleoarctic
Cycadeospermum	66	56	paleoarctic
Lepidostrobus	318.1	314.6	paleoarctic
Psilophyton	410.8	402.5	paleoarctic
Pseudosporochnus	387.7	358.9	paleoarctic
Pseudosporochnus	387.7	382.4	paleoarctic
Lyginopteris	318.1	314.6	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Barinophyton	364.7	360.7	paleoarctic
Pseudosporochnus	387.7	382.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Posidonia	56	33.9	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Alethopteris	129.4	122.46	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Zosterophyllum	419.2	382.7	paleoarctic
Calamophyton	388.1	382.4	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Eviostachya	364.7	360.7	paleoarctic
Calamostachys	318.1	314.6	paleoarctic
Calamophyton	387.7	382.7	paleoarctic
Posidonia	56	33.9	paleoarctic
Zostera	66	56	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Minerisporites	66	33.9	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Sphenopteris	129.4	122.46	paleoarctic
Pecopteris	129.4	122.46	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Barinophyton	364.7	360.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Decodon	59.2	47.8	paleoarctic
Cordaites	318.1	314.6	paleoarctic
Cordaites	318.1	314.6	paleoarctic
Posidonia	56	33.9	paleoarctic
Posidonia	56	33.9	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Posidonia	47.8	41.3	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Minerisporites	66	33.9	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Hyenia	388.1	382.4	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Parabaena	59.2	47.8	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Azolla	66	56	paleoarctic
Mitrospermum	318.1	314.6	paleoarctic
Larix	13.65	12.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Pseudosporochnus	387.7	382.4	paleoarctic
Pseudosporochnus	388.1	383.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Myeloxylon	318.1	314.6	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Parthenocissus	59.2	47.8	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Vitis	59.2	47.8	paleoarctic
Calamophyton	387.7	382.4	paleoarctic
Barinophyton	364.7	360.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Minerisporites	66	33.9	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Wattieza	388.1	383.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Sphenophyllum	364.7	360.7	paleoarctic
Zosterophyllum	419.2	382.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Lonchopteris	129.4	122.46	paleoarctic
Salvinia	66	33.9	paleoarctic
Zosterophyllum	419.2	410.8	paleoarctic
Sphenopteris	364.7	360.7	paleoarctic
Eviostachya	364.7	360.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Vitis	59.2	47.8	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Psilophyton	419.2	382.7	paleoarctic
Condrusia	364.7	360.7	paleoarctic
Zosterophyllum	419.2	410.8	paleoarctic
Gleichenia	168.3	166.1	paleoarctic
Otozamites	168.3	166.1	paleoarctic
Elatocladus	168.3	166.1	paleoarctic
Carpolithes	70.6	66	nearctic
Vitis	70.6	66	nearctic
Dryopteris	70.6	66	nearctic
Nelumbago	66	56	nearctic
Lepidodendron	358.9	298.9	nearctic
Onychiopsis	112.03	105.3	nearctic
Equisetum	70.6	66	nearctic
Magnolia	99.6	93.5	nearctic
Elatocladus	99.6	93.5	nearctic
Glyptostrobus	66	61.7	nearctic
Magnolia	99.6	93.5	nearctic
Menispermites	99.6	93.5	nearctic
Minerisporites	99.6	93.5	nearctic
Laurophyllum	99.6	93.5	nearctic
Sphenopteris	112.03	105.3	nearctic
Platanus	99.6	93.5	nearctic
Lepidodendron	358.9	298.9	nearctic
Lepidodendron	358.9	298.9	nearctic
Lepidodendron	318.1	298.9	nearctic
Quereuxia	70.6	66	nearctic
Arcellites	99.6	93.5	nearctic
Alethopteris	358.9	298.9	nearctic
Lepidodendron	358.9	298.9	nearctic
Balmeisporites	99.6	93.5	nearctic
Lepidodendron	358.9	298.9	nearctic
Minerisporites	99.6	93.5	nearctic
Zosterophyllum	410.8	407.6	nearctic
Laurophyllum	99.6	93.5	nearctic
Azollopsis	72.1	56	nearctic
Metasequoia	99.6	93.9	nearctic
Lepidodendron	358.9	298.9	nearctic
Arcellites	99.6	93.5	nearctic
Dryophyllum	70.6	66	nearctic
Pecopteris	358.9	298.9	nearctic
Cladophlebis	99.6	93.5	nearctic
Lepidostrobophyllum	318.1	298.9	nearctic
Arcellites	99.6	93.5	nearctic
Aralia	99.6	93.5	nearctic
Cordaites	358.9	298.9	nearctic
Onoclea	99.6	93.5	nearctic
Ziziphus	99.6	93.5	nearctic
Metasequoia	66	56	nearctic
Arcellites	99.6	93.5	nearctic
Nelumbo	66	56	nearctic
Megaphyton	358.9	298.9	nearctic
Zosterophyllum	410.8	407.6	nearctic
Rhamnites	89.8	72.1	nearctic
Coniopteris	112.03	105.3	nearctic
Lepidodendron	318.1	298.9	nearctic
Psilophyton	407.6	393.3	nearctic
Calamites	318.1	298.9	nearctic
Azollopsis	83.6	72.1	nearctic
Zosterophyllum	410.8	407.6	nearctic
Arcellites	99.6	93.5	nearctic
Magnolia	99.6	93.5	nearctic
Platanus	99.6	93.5	nearctic
Trochodendroides	99.6	93.5	nearctic
Sigillaria	318.1	298.9	nearctic
Platanus	83.5	70.6	nearctic
Zosterophyllum	410.8	407.6	nearctic
Coniopteris	112.03	105.3	nearctic
Pagiophyllum	112.03	105.3	nearctic
Cladophlebis	99.6	93.9	nearctic
Ficus	99.6	93.5	nearctic
Onoclea	66	56	nearctic
Platanus	99.6	93.5	nearctic
Neuropteris	358.9	298.9	nearctic
Sagenopteris	199.3	190.8	nearctic
Nilsonia	100.5	66	nearctic
Nilsonia	112.03	105.3	nearctic
Azollopsis	83.6	72.1	nearctic
Drumhellera	100.5	66	nearctic
Minerisporites	109	99.6	nearctic
Marsilea	83.5	70.6	nearctic
Pterophyllum	112.03	105.3	nearctic
Pecopteris	358.9	298.9	nearctic
Perotrilites	387.7	382.7	nearctic
Eremopteris	318.1	298.9	nearctic
Sapindopsis	112.03	105.3	nearctic
Minerisporites	109	99.6	nearctic
Arcellites	99.6	93.5	nearctic
Lepidostrobus	358.9	298.9	nearctic
Sphenopteris	358.9	298.9	nearctic
Platanus	99.6	93.5	nearctic
Zosterophyllum	410.8	407.6	nearctic
Trimerophyton	407.6	393.3	nearctic
Zosterophyllum	410.8	407.6	nearctic
Vitis	99.6	93.5	nearctic
Pseudocycas	99.6	93.5	nearctic
Metasequoia	99.6	93.5	nearctic
Pseudocycas	112.03	105.3	nearctic
Woodwardia	66	56	nearctic
Psilophyton	407.6	393.3	nearctic
Elatocladus	99.6	93.5	nearctic
Pecopteris	358.9	298.9	nearctic
Zosterophyllum	410.8	407.6	nearctic
Alethopteris	318.1	298.9	nearctic
Megaphyton	358.9	298.9	nearctic
Lepidodendron	318.1	298.9	nearctic
Dennstaedtia	83.5	70.6	nearctic
Arcellites	99.6	93.5	nearctic
Equisetum	66	61.7	nearctic
Cladophlebis	89.8	72.1	nearctic
Asterophyllites	318.1	298.9	nearctic
Pseudocycas	99.6	93.5	nearctic
Pecopteris	358.9	298.9	nearctic
Alethopteris	318.1	298.9	nearctic
Sphenopteris	99.6	93.5	nearctic
Cladophlebis	99.6	93.5	nearctic
Elatocladus	112.03	105.3	nearctic
Equisetum	99.6	93.5	nearctic
Cladophlebis	112.03	105.3	nearctic
Magnolia	99.6	93.9	nearctic
Sapindus	89.8	72.1	nearctic
Azollopsis	72.1	56	nearctic
Trochodendroides	70.6	66	nearctic
Ficus	99.6	93.5	nearctic
Juglans	70.6	66	nearctic
Sphenopteris	358.9	346.7	nearctic
Carya	46.2	40.4	nearctic
Leguminosites	89.8	72.1	nearctic
Cercidiphyllum	46.2	40.4	nearctic
Balmeisporites	99.6	93.5	nearctic
Cladophlebis	145	113	nearctic
Neuropteris	318.1	298.9	nearctic
Azollopsis	83.6	72.1	nearctic
Minerisporites	83.6	66	nearctic
Zosterophyllum	410.8	407.6	nearctic
Onoclea	89.8	72.1	nearctic
Zosterophyllum	410.8	407.6	nearctic
Zosterophyllum	410.8	407.6	nearctic
Balmeisporites	99.6	93.5	nearctic
Samaropsis	318.1	298.9	nearctic
Quereuxia	66	56	nearctic
Zosterophyllum	425.6	423	nearctic
Sphenopteris	318.1	298.9	nearctic
Thuites	89.8	72.1	nearctic
Ptilophyllum	145	125	nearctic
Lepidostrobophyllum	318.1	298.9	nearctic
Pecopteris	358.9	298.9	nearctic
Equisetum	83.5	70.6	nearctic
Platanus	89.8	72.1	nearctic
Menispermites	99.6	93.5	nearctic
Azollopsis	83.6	72.1	nearctic
Azollopsis	83.6	72.1	nearctic
Arcellites	113	100.5	nearctic
Sagenopteris	112.03	105.3	nearctic
Calamites	358.9	323.2	nearctic
Calamites	358.9	323.2	nearctic
Trochodendroides	99.6	93.5	nearctic
Sphenopteris	99.6	93.9	nearctic
Minerisporites	72.1	66	nearctic
Minerisporites	109	99.6	nearctic
Minerisporites	83.6	66	nearctic
Azollopsis	83.6	72.1	nearctic
Betula	46.2	40.4	nearctic
Mesocyparis	72.1	66	nearctic
Alnus	89.8	72.1	nearctic
Lepidostrobus	358.9	298.9	nearctic
Minerisporites	83.6	72.1	nearctic
Balmeisporites	99.6	93.5	nearctic
Lepidostrobus	358.9	298.9	nearctic
Andromeda	99.6	93.5	nearctic
Sparganium	89.8	72.1	nearctic
Populus	89.8	72.1	nearctic
Alethopteris	358.9	298.9	nearctic
Neuropteris	318.1	298.9	nearctic
Psilophyton	393.3	382.7	nearctic
Psilophyton	407.6	393.3	nearctic
Minerisporites	83.6	72.1	nearctic
Zosterophyllum	410.8	407.6	nearctic
Pecopteris	358.9	298.9	nearctic
Samaropsis	358.9	298.9	nearctic
Pecopteris	358.9	298.9	nearctic
Sparganium	89.8	72.1	nearctic
Nilsonia	145	113	nearctic
Pseudocycas	99.6	93.5	nearctic
Cinnamomum	99.6	93.5	nearctic
Cladophlebis	145	125	nearctic
Albertarum	83.5	70.6	nearctic
Pecopteris	358.9	298.9	nearctic
Sphenophyllum	358.9	298.9	nearctic
Azollopsis	72.1	56	nearctic
Balmeisporites	105.3	93.9	nearctic
Dicotylophyllum	66	56	nearctic
Cladophlebis	112.03	105.3	nearctic
Nilsonia	89.8	72.1	nearctic
Ziziphus	89.8	72.1	nearctic
Arcellites	109	99.6	nearctic
Kraeuselisporites	279.3	272.3	nearctic
Minerisporites	113	100.5	nearctic
Minerisporites	99.6	93.5	nearctic
Lepidodendron	358.9	298.9	nearctic
Cladophlebis	112.03	105.3	nearctic
Brachyphyllum	99.6	93.5	nearctic
Psilophyton	407.6	393.3	nearctic
Sigillaria	318.1	298.9	nearctic
Balmeisporites	83.6	72.1	nearctic
Rhamnites	89.8	72.1	nearctic
Pterispermostrobus	358.9	323.2	nearctic
Dryopteris	89.8	72.1	nearctic
Alnus	46.2	40.4	nearctic
Lepidostrobophyllum	358.9	298.9	nearctic
Cladophlebis	89.8	72.1	nearctic
Sapindopsis	112.03	105.3	nearctic
Lepidodendron	358.9	298.9	nearctic
Cladophlebis	89.8	72.1	nearctic
Paranymphaea	66	56	nearctic
Trigonocarpus	358.9	298.9	nearctic
Zosterophyllum	410.8	407.6	nearctic
Pecopteris	358.9	298.9	nearctic
Mariopteris	358.9	298.9	nearctic
Azollopsis	83.6	72.1	nearctic
Neuropteris	358.9	298.9	nearctic
Pecopteris	358.9	298.9	nearctic
Pecopteris	358.9	298.9	nearctic
Zosterophyllum	410.8	407.6	nearctic
Podozamites	163.5	100.5	nearctic
Pecopteris	358.9	298.9	nearctic
Arcellites	99.6	93.5	nearctic
Pecopteris	358.9	298.9	nearctic
Minerisporites	99.6	93.5	nearctic
Ternstroemites	89.8	72.1	nearctic
Sphenopteris	358.9	298.9	nearctic
Sapindus	89.8	72.1	nearctic
Lepidostrobus	318.1	298.9	nearctic
Sagenopteris	163.5	100.5	nearctic
Platanus	89.8	72.1	nearctic
Asterophyllites	318.1	298.9	nearctic
Minerisporites	113	100.5	nearctic
Coniopteris	152.1	130	nearctic
Pecopteris	358.9	323.2	nearctic
Lepidodendron	358.9	298.9	nearctic
Neoraistrickia	279.3	272.3	nearctic
Pseudocycas	99.6	93.9	nearctic
Zosterophyllum	410.8	407.6	nearctic
Dryopteris	89.8	72.1	nearctic
Pinus	46.2	40.4	nearctic
Magnolia	99.6	93.5	nearctic
Metasequoia	46.2	40.4	nearctic
Asterophyllites	358.9	298.9	nearctic
Cinnamomum	89.8	72.1	nearctic
Ziziphus	89.8	72.1	nearctic
Sigillaria	358.9	298.9	nearctic
Stigmaria	358.9	298.9	nearctic
Sphenopteris	358.9	298.9	nearctic
Zosterophyllum	410.8	407.6	nearctic
Zosterophyllum	410.8	407.6	nearctic
Arcellites	99.6	93.5	nearctic
Zosterophyllum	410.8	407.6	nearctic
Mariopteris	358.9	298.9	nearctic
Celastrophyllum	113	100.5	nearctic
Minerisporites	99.6	93.5	nearctic
Arcellites	99.6	93.5	nearctic
Azollopsis	83.6	72.1	nearctic
Azollopsis	83.6	72.1	nearctic
Arcellites	99.6	93.5	nearctic
Balmeisporites	99.6	93.5	nearctic
Azollopsis	83.6	72.1	nearctic
Azollopsis	83.6	72.1	nearctic
Sigillaria	318.1	298.9	nearctic
Sphenophyllum	358.9	298.9	nearctic
Nelumbago	66	56	nearctic
Leguminosites	89.8	72.1	nearctic
Azollopsis	72.1	56	nearctic
Sphenopteris	89.8	72.1	nearctic
Prunites	66	56	nearctic
Onoclea	66	56	nearctic
Woodwardia	66	56	nearctic
Ptilophyllum	163.5	100.5	nearctic
Balmeisporites	99.6	93.5	nearctic
Nilsonia	163.5	100.5	nearctic
Cyclopteris	0.13	0.01	nearctic
Viburnum	89.8	72.1	nearctic
Neoraistrickia	279.3	272.3	nearctic
Lepidodendron	358.9	323.2	nearctic
Ziziphus	89.8	72.1	nearctic
Platanus	99.6	93.5	nearctic
Glyptostrobus	46.2	40.4	nearctic
Elatocladus	99.6	93.5	nearctic
Trochodendroides	99.6	93.5	nearctic
Picea	46.2	40.4	nearctic
Lepidodendron	358.9	298.9	nearctic
Cicatricosisporites	83.5	66	nearctic
Lepidostrobus	358.9	298.9	nearctic
Minerisporites	109	99.6	nearctic
Azolla	83.6	72.1	nearctic
Minerisporites	99.6	93.5	nearctic
Mariopteris	358.9	298.9	nearctic
Azollopsis	83.6	72.1	nearctic
Balmeisporites	105.3	93.9	nearctic
Minerisporites	99.6	93.5	nearctic
Balmeisporites	99.6	93.5	nearctic
Azollopsis	83.6	72.1	nearctic
Zosterophyllum	410.8	407.6	nearctic
Zosterophyllum	410.8	407.6	nearctic
Glyptostrobus	89.8	72.1	nearctic
Stigmaria	345	336	nearctic
Minerisporites	99.6	93.5	nearctic
Pecopteris	358.9	298.9	nearctic
Cladophlebis	145	125	nearctic
Balmeisporites	99.6	93.5	nearctic
Sphenophyllum	358.9	298.9	nearctic
Sphenophyllum	358.9	298.9	nearctic
Sphenopteris	358.9	298.9	nearctic
Amelanchites	66	56	nearctic
Podozamites	125	113	nearctic
Quereuxia	66	56	nearctic
Sphenopteris	112.03	105.3	nearctic
Sapindus	89.8	72.1	nearctic
Neuropteris	358.9	298.9	nearctic
Paranymphaea	66	56	nearctic
Amelanchites	66	56	nearctic
Alethopteris	358.9	323.2	nearctic
Minerisporites	109	99.6	nearctic
Cladophlebis	145	130	nearctic
Minerisporites	83.6	72.1	nearctic
Minerisporites	99.6	93.5	nearctic
Psilophyton	419.2	393.3	nearctic
Podozamites	145	130	nearctic
Cladophlebis	145	130	nearctic
Picea	83.5	66	nearctic
Leguminosites	99.6	93.5	nearctic
Arcellites	99.6	93.5	nearctic
Zosterophyllum	410.8	407.6	nearctic
Cladophlebis	145	125	nearctic
Lepidodendron	358.9	298.9	nearctic
Arcellites	99.6	93.5	nearctic
Balmeisporites	105.3	93.9	nearctic
Alethopteris	358.9	298.9	nearctic
Alethopteris	318.1	298.9	nearctic
Nilsonia	89.8	72.1	nearctic
Gleicheniidites	72.1	66	nearctic
Celastrophyllum	113	100.5	nearctic
Neuropteris	358.9	298.9	nearctic
